review_text,stars,needs_reply
"Please fix the new sub category feature. I am a paid yearly subscriber. I love this app and I loved being able to drag items item or arrange their listing. But recently my tasks either just get lost to oblivion, duplicate themselves for some reason, or when I try to rearrange tasks by dragging them higher or lower so its more organized, it will just end up becoming a sub category to a different task. Then I have to take out time to figure what happened to the task, where it went & fixing everyt",2,1
"bought premium version, didn't get upgrade, sent proof of payment, still no response. not good",2,1
They should give some type of sound feedback when u finish a task,4,0
"The app interface is pretty good, but alot of bot's if you check global settings so It doesn't give a realistic feel if you are checking or comparing yourself. It would be great if they can verify user status !!",2,1
It's such a spectacular idea but I had trouble figuring out all of the different aspects and it was just too much for putting in tasks on a day-to-day basis.,3,1
I'd give it five stars but it keeps bugging me to rate it.,2,1
The best organiser at your finger tips,5,0
"I've been using Business Calendar for many years and it's been wonderful. However, I've noticed in the last month or so that events no longer synchronize. If I open Google Calendar, everything syncs. This should happen without Google Calendar (and always has before). I'm hoping this is fixed soon as Business Calendar 2 has been a mainstay on my device for many years and has been my favorite.",3,1
Best todo list I have used so far. Works on every device I have just perfect ❤️,5,0
"Work well as my need, except it can not be watch face on Samsung watch. I try it several days and love it. So I purchase the pro version, wish to use it on my watch as it said can be used with Android. I didn't know that Samsung watch is different OS, so it's incompatible :( However, the developer show responsibility by refunding the money. Anyway, I still hope it will be able to use with Samsung watch soon. Keep up the good work!",4,1
"Doesnt work on ALL android Wear OS devices. Specifically, doesnt work with the Watch Active2.",1,1
"I wanted to play with it for a few minutes before putting in my payment info. I realize I can cancel, but would prefer to do a quick test first. I",3,1
Why have I been logged out and cant reset my password to get back in?,1,1
"This is a good app but the data analysis and visualization is fundamentally broken. The score and success percentage function in that they record the success values for the end of each day and then add that to the database. This means unfortunately that your success percentage never goes above your first day, when if you did the thing, you got 100%. As such, the visualizations are useless. A better solution would be to include rolling means of success percentage by x number of day intervals.",3,0
"It has a lot of functionality bugs. Some of my events were not adding, after restaring the app, other events just disappeared etc. I m really sorry i had to delete it because it looked nice and could be very useful but it s not working. Thanks!",1,1
Can't set times for when tasks need to be completed. Can't tick off tasks for the next day,3,1
"Me like. But one thing I don't like is if you schedule something over a couple of days. If you block out 8 hours in a day, the entire day looks occupied. But if you block out several days, it's just a little sliver along the top of the day entry. That makes no sense to me, I want the entire day to look blocked out.",5,0
"I paid for this app yet it stopped working after I logged out one time. It 
refuses to let me back in when trying my password and even after I tried 
changing the password multiple times. There is no contact information on 
their website. :(",2,1
It motivates you to work,5,0
I haven't found the way to edit the days of the week for one habit.,3,0
The preview video sold me after 30s. Didn't even watch the last 15s.,5,0
I was testing this to replace Fabulous. So far the notifications are not persistent enough. Fabulous is able to wake me up in the morning.,2,1
"I love this app, its helped me quite a bit. I would love to provide 5 stars, but I'm having issues with no notifications even though I have them active and the widget is a bit fussy clearing randomly when I finish a task. I really hope these get fixed because then this will be the single most useful app I've ever used.",4,1
Great app. Really needs a desktop capability.,4,0
i love the concept but i would love to see a list of suggested 'to dos' cuz i can never think of things to do,3,1
"Easy to work with, interactive, great visual tool. The team is connected and we all work for a commun goal.",5,0
Good for both Track Habits and To Do List..,5,0
